index,creation_date,status,completion_date,surface_type,graffiti_spot,address,zipcode,ward,police_district,community_area,latitude,longitude,location
17-05914888,09/06/2017,Completed,09/07/2017,Metal - Painted,Pole,2944 W 47TH ST,60632,15,9,58,41.8083219866971,-87.6984051982398,"(41.808321986697, -87.69840519824)"
18-02920225,10/15/2018,Completed,10/15/2018,Metal - Unpainted,Dumpster,1619 W WAVELAND AVE,60613,47,19,6,41.948692756107604,-87.669723819598,"(41.948692756108, -87.669723819598)"
17-05943229,09/07/2017,Completed,09/07/2017,Metal - Painted,Mail Box,2801 N CLARK ST,60657,44,19,6,41.9329417047196,-87.64482829445672,"(41.93294170472, -87.644828294457)"
18-01132573,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,1525 W 51ST ST,60609,16,9,61,41.801224244577206,-87.663497071271,"(41.801224244577, -87.663497071271)"
17-05940441,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Pole,3022 W CORNELIA AVE,60618,33,17,21,41.9448768979488,-87.7038845178935,"(41.944876897949, -87.703884517893)"
18-01132264,04/05/2018,Completed,04/05/2018,Metal - Painted,Alley,1 N FRANKLIN ST,60606,42,1,32,41.8819674670243,-87.6351654428475,"(41.881967467024, -87.635165442847)"
18-01130465,04/05/2018,Completed,04/05/2018,Brick - Unpainted,Pole,3556 S STATE ST,60609,3,2,35,41.8293419827386,-87.62666998065691,"(41.829341982739, -87.626669980657)"
17-05891825,09/05/2017,Completed,09/07/2017,Brick - Unpainted,Rear,2210 W RICE ST,60622,2,12,24,41.8968485387496,-87.6824789536891,"(41.89684853875, -87.682478953689)"
17-05939638,09/07/2017,Completed,09/07/2017,Brick - Unpainted,Side,2316 S DAMEN AVE,60608,25,10,31,41.8498464724768,-87.6759261307505,"(41.849846472477, -87.67592613075)"
17-05899704,09/05/2017,Completed,09/07/2017,Brick - Unpainted,Front,4006 S WESTERN AVE,60609,12,9,58,41.8208496270804,-87.68490638040291,"(41.82084962708, -87.684906380403)"
17-05942309,09/07/2017,Completed,09/07/2017,Metal - Painted,Fence,4214 N KEDZIE AVE,60618,33,17,16,41.958034809074896,-87.7082916226957,"(41.958034809075, -87.708291622696)"
18-01130734,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,2547 W LAWRENCE AVE,60625,40,19,4,41.9684670218983,-87.69322013455341,"(41.968467021898, -87.693220134553)"
17-05943110,09/07/2017,Completed,09/07/2017,Brick - Painted,Front,1005 W IRVING PARK RD,60613,46,19,6,41.954375168190396,-87.65477203428921,"(41.95437516819, -87.654772034289)"
18-01134516,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,1448 W DEVON AVE,60660,49,24,1,41.9982253282994,-87.66740479602119,"(41.998225328299, -87.667404796021)"
17-05942705,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Door,3463 W LAWRENCE AVE,60625,33,17,14,41.968266978458,-87.71574547183391,"(41.968266978458, -87.715745471834)"
17-05918940,09/06/2017,Completed,09/07/2017,Metal - Painted,Traffic Control Box,2401 N GREENVIEW AVE,60614,2,19,7,41.925205725270295,-87.6656122335152,"(41.92520572527, -87.665612233515)"
