Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
08/31/2017,Completed,08/31/2017,17-05808286,Graffiti Removal,Metal - Painted,Newspaper Box,3959 N LINCOLN AVE,60613,1162406.48510286,1926364.6300684,47,19,5,38,41.95404231676810,-87.67850964484910,"(41.954042316768, -87.678509644849)"
08/31/2017,Completed,08/31/2017,17-05817807,Graffiti Removal,Metal - Painted,Side,4143 S FRANCISCO AVE,60632,1157660.35329928,1876868.25567071,12,9,58,39,41.817369095957500,-87.69678859291460,"(41.817369095957, -87.696788592915)"
08/31/2017,Completed,08/31/2017,17-05807451,Graffiti Removal,Brick - Unpainted,Front,1529 N MILWAUKEE AVE,60622,1163190.32000098,1910264.36001124,1,14,24,33,41.90938125346220,-87.6756826584113,"(41.909381253462, -87.675682658411)"
08/31/2017,Completed,08/31/2017,17-05811898,Graffiti Removal,Brick - Unpainted,Pole,1812 S LAFLIN ST,60608,1166656.67658623,1891364.48522656,25,12,31,,41.85741182550630,-87.66389737256340,"(41.857411825506, -87.663897372563)"
04/03/2018,Completed,04/04/2018,18-01110369,Graffiti Removal,Brick - Painted,Front,2110 S KEDZIE AVE,60623,1155346.83269271,1889862.75548637,24,10,30,,41.8533139602029,-87.70544594137790,"(41.853313960203, -87.705445941378)"
08/31/2017,Completed,08/31/2017,17-05807122,Graffiti Removal,Metal - Painted,Door,1466 W WARNER AVE,60613,1165624.19838779,1927651.10001993,47,19,6,,41.957171853431600,-87.66686762489110,"(41.957171853432, -87.666867624891)"
08/31/2017,Completed,08/31/2017,17-05804739,Graffiti Removal,Metal - Painted,Newspaper Box,4254 W 55TH ST,60632,1148858.57498311,1867790.8964186,23,8,62,,41.79324872884950,-87.73028525281160,"(41.793248728849, -87.730285252812)"
08/31/2017,Completed,08/31/2017,17-05805108,Graffiti Removal,Wood - Painted,Fence,1454 S HAMLIN AVE,60623,1151282.04973302,1892670.21771972,24,10,29,,41.860900532104200,-87.7202879704679,"(41.860900532104, -87.720287970468)"
04/03/2018,Completed,04/04/2018,18-01115087,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Express Way Job,749 S CICERO AVE,60644,1144511.21920436,1896137.68048126,24,11,25,,41.87082601444880,-87.74476763884660,"(41.870826014449, -87.744767638847)"
08/31/2017,Completed,08/31/2017,17-05806292,Graffiti Removal,Metal - Painted,Front,1915 W NORTH AVE,60622,1163439.32412411,1910672.48941953,2,14,24,33,41.91040449055330,-87.67567152706280,"(41.910404490553, -87.675671527063)"
08/31/2017,Completed,08/31/2017,17-05812305,Graffiti Removal,Metal - Painted,Traffic Control Box,10654 S KEDZIE AVE,60655,1156901.78429144,1833790.68946836,19,22,74,,41.69906904778290,-87.70123626339060,"(41.699069047783, -87.701236263391)"
08/31/2017,Completed,08/31/2017,17-05804483,Graffiti Removal,Vinyl Siding,Front,1801 W 21ST PL,60608,1164695.98986958,1889778.34177624,25,12,31,,41.853050771224500,-87.67108835865920,"(41.853050771225, -87.671088358659)"
